date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:41	2814/2814	---M--	200	added ('OK')	text/plain	etag:%22afe-59b38409c1d00%22	https://www.baidu.com/robots.txt		(from )
14:19:42	386161/386161	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2014:19:41%20GMT	https://www.baidu.com/	www.baidu.com/index.html	(from )
14:19:44	431/431	---M--	200	added ('OK')	image/png	etag:%221af-4d07b18a71300%22	http://www.baidu.com/img/sug_bd.png?v=09816787.png	www.baidu.com/img/sug_bdd219.png	(from https://www.baidu.com/)
14:19:44	2947/2947	---M-Z	200	added ('OK')	text/html	etag:%22b83-59bafefa98680%22	http://www.baidu.com/baidu.html?from=noscript	www.baidu.com/baidufb84.html	(from https://www.baidu.com/)
14:19:45	15444/15444	---M--	200	added ('OK')	image/png	etag:%223c54-5f29b37f1cf00%22	http://www.baidu.com/img/PCtm_d9c8750bed0b3c7d089fa7d55720d6cf.png	www.baidu.com/img/PCtm_d9c8750bed0b3c7d089fa7d55720d6cf.png	(from https://www.baidu.com/)
14:19:46	72106/72106	---M-Z	200	added ('OK')	text/html	etag:%22119aa-5fc7f534aa400%22	http://www.baidu.com/more/	www.baidu.com/more/index.html	(from https://www.baidu.com/)
14:19:48	14667/14667	---M--	200	added ('OK')	image/png	etag:%22394b-5a533d00d4900%22	http://www.baidu.com/img/flexible/logo/pc/index.png	www.baidu.com/img/flexible/logo/pc/index.png	(from https://www.baidu.com/)
14:19:51	33787/33787	---M--	200	added ('OK')	image/png	etag:%2283fb-5a533d00d4900%22	http://www.baidu.com/img/flexible/logo/pc/index@2.png	www.baidu.com/img/flexible/logo/pc/index@2.png	(from https://www.baidu.com/)
14:19:51	580/580	---MC-	302	error ('Found')	text/html	date:Wed,%2019%20Jul%202023%2014:19:49%20GMT	http://www.baidu.com/s?wd=%E7%99%BE%E5%BA%A6%E7%83%AD%E6%90%9C&sa=ire_dl_gh_logo_texing&rsv_dl=igh_logo_pcs	www.baidu.com/s.67445.delayed	(from https://www.baidu.com/)
14:19:52	24774/24774	---M--	200	added ('OK')	image/png	etag:%2260c6-5f29b34aa9340%22	http://www.baidu.com/img/PCfb_5bf082d29588c07f842ccde3f97243ea.png	www.baidu.com/img/PCfb_5bf082d29588c07f842ccde3f97243ea.png	(from https://www.baidu.com/)
14:19:53	6617/6617	---M--	200	added ('OK')	image/png	etag:%2219d9-5a533d00d4900%22	http://www.baidu.com/img/flexible/logo/pc/result.png	www.baidu.com/img/flexible/logo/pc/result.png	(from https://www.baidu.com/)
14:19:53	12802/12802	---M--	200	added ('OK')	image/png	etag:%223202-5a533d00d4900%22	http://www.baidu.com/img/flexible/logo/pc/result@2.png	www.baidu.com/img/flexible/logo/pc/result@2.png	(from https://www.baidu.com/)
14:19:54	7707/7707	---M--	200	added ('OK')	image/png	etag:%221e1b-5b00622d17d00%22	http://www.baidu.com/img/flexible/logo/pc/peak-result.png	www.baidu.com/img/flexible/logo/pc/peak-result.png	(from https://www.baidu.com/)
14:19:54	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jul%202023%2014:19:54%20GMT	http://www.baidu.com/duty	www.baidu.com/duty.a.delayed	(from https://www.baidu.com/)
14:19:55	10194/10194	---M-Z	200	added ('OK')	text/html	etag:%2227d2-5f39a0f8d87c0%22	http://www.baidu.com/duty/	www.baidu.com/duty/index.html	(from https://www.baidu.com/)
14:19:55	15910/15910	---M--	200	added ('OK')	image/png	etag:%223e26-5db9234f91300%22	http://www.baidu.com/img/flexible/logo/pc/result_gray.png	www.baidu.com/img/flexible/logo/pc/result_gray.png	(from https://www.baidu.com/)
14:19:56	2814/2814	---M--	200	added ('OK')	text/plain	etag:%22afe-59b38409c1d00%22	http://www.baidu.com/robots.txt		(from https://www.baidu.com/)
14:19:56	1382/1382	---M-Z	200	added ('OK')	text/html	etag:%22566-5cf4f1046e180%22	http://www.baidu.com/licence/	www.baidu.com/licence/index.html	(from https://www.baidu.com/)
